SubNumber,Race,B1Lshow,B1Ltime,B1Ttries,B1Tshow,B1Tresp,B1Ttime,B2Lshow,B2Ltime,B2Ttries,B2Tshow,B2Tresp,B2Ttime,B3Lshow,B3Ltime,B3Ttries,B3Tshow,B3Tresp,B3Ttime,B4Lshow,B4Ltime,B4Ttries,B4Tshow,B4Tresp,B4Ttime,Completion
2045,Asian,2_5,8100,1,2_5,2_5,3351,3_5_2,6073,10,3_5_2|5_2_3|3_5_2|3_2_5|5_3_2|3_5_2|3_2_5|2_5_3|5_2_3|3_2_5,2_4_4|3_2_1|1_2_3|5_3_3|3_3_4|1_5_2|4_1_5|1_5_4|5_2_4|3_2_5,153618,3_4_2_5,9888,1,5_3_2_4,5_3_2_4,14018,3_1_2_4_5,8307,8,4_5_3_2_1|3_5_2_4_1|1_2_4_5_3|1_4_5_3_2|5_1_2_3_4|1_5_4_3_2|4_5_3_2_1|5_4_1_3_2,3_5_3_2_1|3_5_1_1_2|4_2_2_5_3|4_1_5_3_4|5_1_2_5_2|1_5_4_3_1|4_5_3_2_4|5_4_1_3_2,169230,normal
2046,White,5_2,4046,2,2_5|2_5,5_5|2_5,12335,3_2_5,5088,2,3_2_5|3_2_5,3_5_5|3_2_5,9661,1_2_5_3,3565,1,1_3_2_5,1_3_2_5,6836,2_1_5_3_4,4055,1,3_5_1_2_4,3_5_1_2_4,7955,normal
2049,White,1_5,7926,1,5_1,5_1,3480,5_2_1,3306,1,1_5_2,1_5_2,3834,5_2_1_3,4065,1,2_5_1_3,2_5_1_3,5920,5_3_2_1_4,6615,1,1_2_5_3_4,1_2_5_3_4,5973,normal
2050,White,4_1,8479,2,1_4|1_4,4_4|1_4,11631,4_5_1,4879,1,5_1_4,5_1_4,4642,1_4_5_3,8512,21,3_4_5_1|1_3_5_4|1_3_5_4|1_4_5_3|5_4_3_1|5_3_1_4|1_3_4_5|5_3_1_4|3_1_5_4|4_1_3_5|5_1_4_3|5_3_4_1|4_3_1_5|5_4_1_3|4_5_1_3|4_1_3_5|3_1_4_5|4_5_1_3|5_4_1_3|1_5_4_3|5_3_4_1,5_4_3_1|3_5_1_4|1_5_5_4|4_4_3_4|3_4_5_1|3_4_4_4|5_3_1_5|5_3_4_4|5_4_1_4|4_3_3_5|5_4_4_3|5_3_1_1|4_5_5_1|1_4_3_5|4_1_5_5|4_1_5_5|3_4_4_5|1_5_1_4|5_4_3_3|1_5_3_3|5_3_4_1,400592,3_5_1_2_4,18792,1,2_1_3_5_4|3_4_2_1_5|3_1_2_4_5|1_4_3_2_5|4_1_2_3_5|1_2_4_3_5|5_4_3_1_2|4_1_5_2_3|1_5_2_4_3|3_1_5_4_2|3_2_1_5_4|3_5_4_1_2|1_3_5_4_2|1_3_4_2_5|1_4_5_3_2|1_4_3_5_2,3_3_2_5_4|2_2_2_1_3|3_4_4_5_5|3_4_3_2_5|3_3_3_3_5|3_3_3_4_5|5_2_2_2_2|1_1_2_2_3|1_5_4_4_3|3_4_5_4_2|3_1_1_5_4|3_5_4_2_2|2_2_5_4_2|3_3_2_2_5|1_3_5_3_2|1_4_3_5_2,14117,Incomplete
2052,Black,2_5,4165,2,5_2|5_2,2_2|5_2,12993,3_5_2,3859,7,2_5_3|5_2_3|5_3_2|5_2_3|3_2_5|2_5_3|5_2_3,3_3_3|3_3_3|5_2_2|5_3_3|5_2_3|3_5_2|5_2_3,53318,5_1_2_3,5399,2,1_3_5_2|1_2_5_3,5_2_2_2|1_2_5_3,16637,2_4_1_5_3,5550,4,4_2_3_5_1|4_1_2_5_3|5_1_4_3_2|1_2_4_3_5,2_2_1_1_1|2_1_5_3_4|4_1_3_2_5|1_2_4_3_5,53845,normal
2053,Asian,5_4,10299,1,5_4,5_4,2320,4_5_2,2207,1,4_5_2,4_5_2,1879,2_4_5_1,2292,16,2_5_4_1|5_4_2_1|5_4_1_2|2_5_1_4|4_2_1_5|1_2_4_5|5_2_4_1|5_1_4_2|1_2_4_5|5_4_1_2|4_5_1_2|4_2_1_5|1_2_4_5|2_1_4_5|1_4_5_2|1_2_4_5,2_4_5_4|2_1_3_4|4_1_1_5|5_1_4_4|2_5_1_4|5_4_3_4|2_4_1_3|4_5_2_1|5_2_5_5|1_4_2_2|1_2_2_2|1_5_1_5|2_2_4_5|5_4_5_5|5_2_2_2|1_2_4_5,15113527,4_3_1_5_2,4336,6,5_1_4_2_3|5_2_3_1_4|3_4_1_5_2|5_1_4_3_2|2_5_3_4_1|,4_5_2_5_4|5_4_1_4_4|5_4_2_5_2|5_3_4_2_2|5_4_4_1_1|,46298,normal
2054,Black,2_3,10893,3,3_2|3_2|3_2,2_2|3_3|3_2,18063,2_3_1,7592,2,1_2_3|2_3_1,3_3_2|2_3_1,21598,4_1_3_2,13386,13,2_1_3_4|2_1_3_4|2_1_3_4|2_4_1_3|1_4_3_2|4_2_1_3|1_2_4_3|2_4_1_3|1_4_2_3|3_1_4_2|1_4_2_3|2_4_1_3|3_4_1_2,4_3_3_1|2_3_2_4|2_4_4_4|3_1_1_2|3_2_1_4|1_3_4_1|4_4_2_3|4_4_3_2|4_3_1_2|3_4_2_2|4_4_1_3|4_4_1_3|3_4_1_2,229022,2_4_5_3_1,6828,5,3_1_4_5_2|1_5_3_2_4|4_2_1_3_5|3_4_1_5_2|4_1_5_2_3,3_4_5_5_2|4_5_3_2_1|1_3_1_3_5|3_1_1_5_2|4_1_5_2_3,82455,normal
2057,Asian,3_5,5131,1,3_5,3_5,4092,5_1_3,6473,2,1_3_5|3_5_1,1_5_5|3_5_1,16617,1_3_4_5,6042,3,4_3_5_1|3_5_1_4|1_4_5_3,4_5_5_1|1_5_4_4|1_4_5_3,30227,3_1_2_4_5,6830,1,5_3_1_4_2,5_3_1_4_2,6120,normal
2058,White,4_2,5794,1,2_4,2_4,2324,4_3_2,3721,1,3_2_4,3_2_4,3647,3_4_2_5,6924,1,5_2_3_4,5_2_3_4,5339,4_1_3_5_2,6678,1,5_4_2_3_1,5_4_2_3_1,6966,normal
2059,Asian,2_5,3762,1,2_5,2_5,9938,5_2_4,6448,1,5_2_4,5_2_4,6272,2_5_4_1,4152,7,2_1_4_5|2_5_1_4|5_1_4_2|2_5_4_1|5_4_1_2|2_5_1_4|5_2_4_1,5_4_5_2|2_4_1_4|4_2_5_3|5_4_2_3|5_2_3_2|4_4_4_4|5_2_4_1,90379,2_3_4_5_1,7366,12,3_2_1_4_5|1_3_4_2_5|2_5_3_4_1|4_3_5_2_1|2_3_4_5_1|3_2_1_4_5|4_3_5_1_2|2_5_4_3_1|4_1_3_2_5|3_4_2_1_5|2_5_3_1_4|2_5_1_3_4,4_3_2_5_5|2_4_1_3_5|4_3_2_4_1|3_2_5_1_3|4_2_5_5_1|2_4_1_2_5|2_3_5_4_5|2_5_1_3_1|1_2_3_4_5|2_4_3_1_5|2_5_4_1_4|2_5_1_3_4,219784,normal
2062,Black,4_3,7072,1,3_4,3_4,2830,2_4_3,5495,1,3_2_4,3_2_4,3993,2_1_4_3,5454,3,2_4_1_3|2_3_1_4|2_4_3_1,2_3_1_3|2_3_4_4|2_4_3_1,26274,5_4_1_2_3,7748,2,3_5_4_2_1|5_2_4_1_3,1_1_4_2_3|5_2_4_1_3,25731,normal
2063,Asian,1_3,8329,4,3_1|1_3|3_1|1_3,1_1|3_2|2_1|1_3,25921,1_3_2,6915,2,3_2_1|2_3_1,1_2_1|2_3_1,12449,2_1_5_3,6808,3,5_3_1_2|2_3_1_5|3_5_2_1,4_1_2_1|2_3_1_4|3_5_2_1,25361,1_5_4_2_3,10960,8,3_1_4_5_2|3_5_1_4_2|1_5_4_3_2|3_5_1_4_2|2_1_5_3_4|3_4_2_5_1|4_1_5_3_2|3_4_2_5_1,3_2_2_5_4|1_5_3_4_2|1_5_2_3_2|1_5_1_4_2|4_3_5_3_2|1_2_5_5_3|2_1_5_3_2|3_4_2_5_1,90103,normal
2064,Asian,5_3,18176,1,3_5,3_5,2994,3_1_5,2826,5,1_3_5|1_5_3|5_1_3|3_5_1|1_3_5,3_1_5|1_3_3|5_3_1|1_1_4|1_3_5,36666,3_5_1_2,6773,1,1_2_5_3,1_2_5_3,6193,1_5_4_3_2,3294,1,1_3_4_5_2,1_3_4_5_2,9578,normal
2065,White,4_1,4364,1,1_4,1_4,4911,5_1_4,3480,5,4_5_1|5_1_4|5_4_1|4_1_5|1_4_5,4_1_1|5_4_4|5_1_4|5_1_5|1_4_5,45027,4_5_2_1,4692,2,5_1_2_4|1_5_4_2,5_1_3_4|1_5_4_2,15060,5_2_4_3_1,5386,2,4_5_2_1_3|1_2_4_3_5,5_5_2_1_3|1_2_4_3_5,23058,normal
2067,Black,3_4,3912,1,3_4,3_4,3126,5_4_3,4106,1,3_5_4,3_5_4,5557,5_3_4_1,4846,4,5_1_3_4|3_5_1_4|1_5_3_4|1_3_4_5,5_4_1_1|4_5_1_4|4_5_4_3|1_3_4_5,51056,1_5_4_3_2,6674,2,5_1_3_2_4|1_3_5_2_4,5_4_4_2_4|1_3_5_2_4,23793,normal
2070,White,4_5,6993,2,5_4|5_4,3_4|5_4,10492,4_3_5,4587,1,4_3_5,4_3_5,2534,3_2_5_4,3952,7,4_2_5_3|3_4_5_2|4_2_3_5|2_3_5_4|4_5_2_3|2_3_5_4|5_4_3_2,4_3_5_3|3_4_2_3|4_5_3_5|5_3_2_4|3_5_3_3|4_3_5_4|5_4_3_2,80236,5_2_1_4_3,10720,1,3_1_5_4_2,3_1_5_4_2,9537,normal
2071,White,5_3,8358,1,5_3,5_3,2825,2_5_3,6535,2,3_2_5|3_5_2,2_5_5|3_5_2,17321,5_2_1_3,5544,14,1_5_3_2|3_2_1_5|1_3_2_5|2_5_3_1|1_3_5_2|2_1_5_3|1_3_5_2|1_2_3_5|2_1_5_3|2_1_3_5|2_1_5_3|5_3_2_1|1_2_5_3|2_1_3_5,2_3_3_5|3_5_2_5|2_3_5_5|2_5_1_1|2_3_5_1|2_3_5_3|3_3_5_2|3_5_3_5|3_3_5_3|3_3_5_5|2_3_3_3|5_2_2_1|3_5_5_3|2_1_3_5,125139,4_3_1_5_2,7342,3,4_1_2_5_3|4_3_5_1_2|2_3_5_4_1,4_2_3_5_3|4_1_5_1_3|2_3_5_4_1,27671,normal
2073,White,4_2,10830,1,2_4,2_4,2087,1_4_2,3819,1,4_1_2,4_1_2,3602,4_3_2_1,3697,1,3_4_2_1,3_4_2_1,6466,3_5_2_4_1,3891,4,4_2_5_1_3|4_5_1_2_3|4_1_5_2_3|4_1_2_5_3,4_3_5_2_3|4_5_2_3_3|1_1_5_3_2|4_1_2_5_3,49035,normal
2081,Black,2_1,7532,1,1_2,1_2,2490,1_4_2,4171,1,2_1_4,2_1_4,3555,1_4_3_2,4094,3,3_1_2_4|3_2_4_1|1_4_3_2,3_2_2_4|4_2_1_1|1_4_3_2,25648,1_4_5_3_2,5604,2,2_3_4_1_5|2_1_4_3_5,4_3_4_3_5|2_1_4_3_5,17423,normal
2082,Asian,2_4,9505,4,4_2|2_4|2_4|4_2,2_4|4_4|4_4|4_2,47219,4_2_5,5800,1,4_2_5,4_2_5,4215,5_4_1_2,5244,4,1_4_5_2|5_4_1_2|5_1_2_4|1_2_4_5,4_2_5_2|5_2_1_2|5_4_2_4|1_2_4_5,48298,2_4_5_1_3,8780,3,5_4_1_3_2|2_3_5_4_1|4_3_2_5_1,5_2_1_3_4|4_3_5_4_3|4_3_2_5_1,38288,normal
2083,Asian,1_3,7831,2,1_3|1_3,3_3|1_3,12513,2_1_3,8761,1,2_3_1,2_3_1,3683,1_4_3_2,7969,1,3_4_2_1,3_4_2_1,4960,2_5_3_4_1,5904,1,3_4_5_2_1|1_3_2_5_4|3_5_4_1_2|3_4_2_5_1|3_5_4_1_2|1_2_5_3_4|5_4_3_1_2|1_3_5_2_4|5_2_4_3_1|5_4_1_2_3|3_4_1_5_2,3_4_5_1_1|1_3_4_4_1|3_1_4_1_4|3_1_3_4_1|5_2_1_1_4|1_2_3_3_4|3_4_5_1_2|1_5_3_1_4|3_1_4_1_1|4_3_1_2_4|3_4_1_5_2,7208,Incomplete
2084,White,3_2,6393,2,3_2|3_2,1_2|3_2,10239,4_2_3,6540,1,4_2_3,4_2_3,4243,5_4_3_2,5768,5,2_3_5_4|2_4_5_3|2_3_5_4|5_3_2_4|2_5_3_4,3_3_4_4|3_3_5_2|3_3_5_4|5_4_4_4|2_5_3_4,52186,2_5_4_3_1,10640,1,4_5_2_1_3|4_3_2_5_1|4_3_2_1_5|4_5_3_1_2|3_1_5_2_4|1_4_3_2_5|1_4_5_2_3|5_4_2_1_3|1_4_5_3_2|5_1_2_3_4,3_1_3_4_5|2_3_4_1_4|2_3_2_1_5|3_5_3_2_1|3_2_5_2_4|2_3_3_5_5|1_2_5_3_3|5_2_3_1_3|1_2_5_3_2|5_1_2_3_4,12007,Incomplete
2085,Asian,5_3,8141,1,3_5,3_5,5963,5_3_1,6550,1,1_5_3,1_5_3,4298,2_5_3_1,6138,3,3_1_2_5|3_2_1_5|5_3_1_2,1_2_1_5|3_1_1_5|5_3_1_2,40678,1_3_5_2_4,5820,2,5_3_2_1_4|2_5_3_4_1,5_3_4_1_4|2_5_3_4_1,22672,normal
2086,White,3_1,7243,1,3_1,3_1,4157,3_4_1,2344,1,3_4_1,3_4_1,3057,3_5_4_1,12338,3,4_3_1_5|1_5_3_4|3_1_4_5,5_3_1_5|4_5_3_2|3_1_4_5,23923,1_4_5_3_2,7448,4,2_1_4_5_3|2_3_4_1_5|5_3_2_1_4|4_1_3_5_2,2_4_4_5_3|2_3_1_1_5|5_3_2_4_4|4_1_3_5_2,39872,normal
2087,White,4_2,13902,1,2_4,2_4,3156,5_4_2,12307,4,5_4_2|5_2_4|2_4_5|4_5_2,4_4_5|5_4_5|5_5_5|4_5_2,43286,4_1_2_5,14675,14,1_5_4_2|1_5_4_2|2_4_5_1|1_2_4_5|1_5_2_4|2_5_4_1|5_4_2_1|2_5_1_4|5_2_1_4|4_5_2_1|1_4_5_2|2_4_1_5|5_1_2_4|2_4_5_1,2_3_3_3|1_2_2_2|5_2_2_3|1_4_4_3|1_2_4_4|1_1_1_1|4_1_2_1|4_4_1_5|5_4_1_4|2_4_2_1|1_5_5_2|5_4_1_2|5_1_4_4|2_4_5_1,217050,1_4_3_5_2,9772,3,2_3_5_1_4|3_4_2_5_1|5_3_4_1_2,3_3_5_1_2|3_2_5_5_1|5_3_4_1_2,38643,normal
2088,White,5_4,3458,2,4_5|4_5,4_4|4_5,11439,4_3_5,3549,2,3_4_5|3_4_5,4_3_5|3_4_5,14935,5_2_3_4,4755,4,5_2_4_3|2_5_3_4|4_5_2_3|2_5_4_3,4_2_5_3|2_4_3_5|2_2_3_3|2_5_4_3,39679,1_3_4_2_5,7483,4,2_5_3_4_1|1_4_2_3_5|5_2_4_1_3|2_3_5_1_4,2_4_3_1_4|1_2_2_3_5|4_2_1_5_3|2_3_5_1_4,53186,normal
2092,White,4_3,4834,1,4_3,4_3,3729,3_5_4,10586,2,5_4_3|5_4_3,5_3_3|5_4_3,12016,3_4_5_2,9353,3,5_4_2_3|4_3_5_2|5_3_2_4,5_4_3_3|5_3_5_2|5_3_2_4,22359,4_5_3_2_1,9060,2,5_1_3_2_4|1_2_4_3_5,5_1_2_2_4|1_2_4_3_5,16612,normal
2093,Asian,4_5,6998,1,5_4,5_4,4168,4_5_2,3188,5,2_4_5|2_4_5|4_5_2|2_5_4|5_2_4,5_2_5|4_4_5|2_5_4|4_4_2|5_2_4,53357,3_2_4_5,9348,2,3_5_4_2|3_5_2_4,3_5_2_4|3_5_2_4,20133,4_1_2_5_3,7767,5,4_1_3_2_5|4_1_2_3_5|3_1_4_2_5|3_4_2_5_1|5_3_4_1_2,4_1_2_4_5|3_1_2_1_5|1_3_2_3_5|1_2_2_5_1|5_3_4_1_2,87531,normal
2098,White,3_5,3975,1,3_5,3_5,2821,4_5_3,2914,1,3_5_4,3_5_4,2824,3_1_5_4,3221,11,1_5_4_3|4_3_5_1|1_5_3_4|3_1_4_5|4_5_3_1|3_1_4_5|1_3_4_5|1_4_3_5|5_4_1_3|5_3_1_4|1_5_4_3,5_5_3_3|1_5_5_1|4_5_4_4|1_1_4_5|3_5_4_4|3_4_4_5|3_3_4_5|4_4_3_5|5_1_1_3|5_4_1_4|1_5_4_3,96502,2_3_5_4_1,5364,2,5_4_2_3_1|3_1_4_2_5,5_3_1_3_4|3_1_4_2_5,20347,Incomplete
2099,White,3_1,6245,1,3_1,3_1,2228,1_4_3,6089,2,1_3_4|4_3_1,1_4_4|4_3_1,14399,3_2_4_1,7702,1,4_2_1_3,4_2_1_3,8958,1_3_2_5_4,14078,2,2_5_1_3_4|4_3_5_2_1,4_5_3_3_4|4_3_5_2_1,28436,normal
